AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DBROTA~1\DATAEX~1\MADDY_~1\EMILY_~1\CHANGE~1\AXISNA~1\WTHIPP~1.SPK
File Type,24-well

Analysis Start,0.000000
Analysis End,363.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,121.000000,1.000000,400.000000,149.000000,1.000000,0.000000,1.000000,9.000000,391.000000,0.000000,1571.000000,1973.000000,7230.000000,464.000000,256.000000,0.000000,1.000000,0.000000,233.000000,0.000000,1746.000000,1698.000000,0.000000,173.000000
    Mean Firing Rate (Hz),0.020833,0.000172,0.068871,0.025654,0.000172,0.000000,0.000172,0.001550,0.067321,0.000000,0.270489,0.339704,1.244835,0.079890,0.044077,0.000000,0.000172,0.000000,0.040117,0.000000,0.300620,0.292355,0.000000,0.029787
    ISI Coefficient of Variation - Avg,2.638290, ,3.672212,3.262775, , , , ,14.096751, ,2.441843,1.550502,4.819708,1.678842,3.333517, , , ,0.849443, ,1.699265,2.445198, ,5.598856
    Number of Active Electrodes,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,7.000000,7.000000,14.000000,4.000000,2.000000,0.000000,0.000000,0.000000,2.000000,0.000000,7.000000,1.000000,0.000000,1.000000
    Weighted Mean Firing Rate (Hz),0.325069, ,1.101928,0.410468, , , , ,1.077135, ,0.602912,0.759543,1.416765,0.317493,0.325069, , , ,0.319559, ,0.670209,4.677686, ,0.438017
Electrode Burst Metrics
    Number of Bursts,5.000000,0.000000,17.000000,5.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,76.000000,66.000000,312.000000,27.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.000000,111.000000,0.000000,7.000000
    Number of Bursting Electrodes,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,6.000000,4.000000,13.000000,4.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,1.000000,0.000000,1.000000
    Burst Duration - Avg (sec),0.074736, ,0.192984,0.122976, , , ,0.030480,1.718640, ,0.057967,0.037320,0.112992,0.032015,0.108777, , , , , ,0.209829,0.162875, ,0.086411
    Burst Duration - Std (sec), , , , , , , , , , ,0.015331,0.018997,0.023650,0.017030,0.055736, , , , , ,0.373816, , , 
    Number of Spikes per Burst - Avg,7.400000, ,14.352941,8.000000, , , ,6.000000,382.000000, ,9.312049,6.581771,19.428209,6.707353,8.523810, , , , , ,18.911264,9.549550, ,22.714286
    Number of Spikes per Burst - Std, , , , , , , , , , ,2.790281,1.622116,14.374810,1.376775,3.369531, , , , , ,28.584618, , , 
    Mean ISI within Burst - Avg (sec),0.013219, ,0.014097,0.018306, , , ,0.006096,0.004511, ,0.007627,0.006975,0.009965,0.005476,0.016033, , , , , ,0.009227,0.018292, ,0.003988
    Mean ISI within Burst - Std (sec), , , , , , , , , , ,0.002837,0.002688,0.006185,0.001972,0.005321, , , , , ,0.003710, , , 
    Median ISI within Burst - Avg (sec),0.006176, ,0.006122,0.011656, , , ,0.002400,0.003200, ,0.004774,0.004349,0.005062,0.003245,0.008798, , , , , ,0.005311,0.009806, ,0.003509
    Median ISI within Burst - Std (sec), , , , , , , , , , ,0.002109,0.000884,0.003080,0.000328,0.003010, , , , , ,0.002423, , , 
    Median/Mean ISI within Burst - Avg,0.602601, ,0.474006,0.611349, , , ,0.393701,0.709398, ,0.666987,0.742126,0.594211,0.712102,0.571332, , , , , ,0.641244,0.542946, ,0.878952
    Median/Mean ISI within Burst - Std, , , , , , , , , , ,0.068074,0.128473,0.165229,0.167301,0.131550, , , , , ,0.255150, , , 
    Inter-Burst Interval - Avg (sec),46.027120, ,7.736450,9.408100, , , , , , ,36.168686,22.669121,20.623745,66.765917,33.228500, , , , , ,46.549699,3.272754, ,36.728067
    Inter-Burst Interval - Std (sec),0.000000, ,0.000000,0.000000, , , , , , ,17.025242,8.163195,23.892042,42.096494,24.773147, , , , , ,27.545563,0.000000, ,0.000000
    Burst Frequency - Avg (Hz),0.013774, ,0.046832,0.013774, , , ,0.002755,0.002755, ,0.034894,0.045455,0.066116,0.018595,0.013774, , , , , ,0.041873,0.305785, ,0.019284
    Burst Frequency - Std (Hz), , , , , , , , , , ,0.040400,0.028585,0.022800,0.019398,0.009543, , , , , ,0.066156, , , 
    IBI Coefficient of Variation - Avg,1.927487, ,3.102041,1.097020, , , , , , ,0.784697,0.903889,0.776476,0.515332,0.787748, , , , , ,1.105869,0.701519, ,0.521444
    IBI Coefficient of Variation - Std,0.000000, ,0.000000,0.000000, , , , , , ,0.118835,0.375656,0.109725,0.287722,0.106233, , , , , ,0.648799,0.000000, ,0.000000
    Burst Percentage - Avg,15.677966,0.000000,61.000000,26.845638,0.000000, ,0.000000,42.857143,97.698210, ,30.320482,16.004151,74.659651,23.053970,41.187739, ,0.000000, ,0.000000, ,17.028722,62.426384, ,25.000000
    Burst Percentage - Std,22.171992, , , , , , ,60.609153, , ,36.683801,26.675553,37.804850,29.645189,49.076108, , , ,0.000000, ,25.656063, , ,50.000000
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,29.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , ,0.022039,0.005510,0.079890, , , , , , , ,0.002755, , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , ,0.151660,0.119320,0.163081, , , , , , , ,0.900560, , , 
    Network Burst Duration - Std (sec), , , , , , , , , , ,0.056723,0.000962,0.025110, , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , ,64.000000,51.500000,249.275862, , , , , , , ,121.000000, , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , ,7.855844,2.121320,24.627071, , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.002483,0.002364,0.000656, , , , , , , ,0.007505, , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , ,0.001150,0.000080,0.000066, , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001220,0.001920,0.000417, , , , , , , ,0.002760, , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000331,0.000113,0.000045, , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , ,0.531622,0.813306,0.637816, , , , , , , ,0.367771, , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , ,0.129530,0.075463,0.066409, , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , , , , , ,8.500000,7.500000,14.724138, , , , , , , ,9.000000, , , 
    Number of Elecs Participating in Burst - Std, , , , , , , , , , ,0.925820,0.707107,0.454859, , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, , , , , , , , , , ,7.593502,6.883929,16.946798, , , , , , , ,13.444444, , , 
    Number of Spikes per Network Burst per Channel - Std, , , , , , , , , , ,1.086842,0.366180,1.757525, , , , , , , , , , , 
    Network Burst Percentage, , , , , , , , , , ,32.590707,5.220476,99.986169, , , , , , , ,6.930126, , , 
    Network IBI Coefficient of Variation, , , , , , , , , , ,0.864907, ,0.793208, , , , , , , , , , , 
    Network Normalized Duration IQR, , , , , , , , , , ,0.277055, ,0.129462, , , , , , , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014903,0.000000,0.000000,0.146458,0.100757,0.458586,0.166284,0.015632,0.000000,0.000000,0.000000,0.001002,0.000000,0.161879,0.000000,0.000000,0.056032
    Area Under Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,0.000000,0.000000,0.161364,0.090335,5.039761,0.040840,0.002066,0.000000,0.000000,0.000000,0.000046,0.000000,0.139945,0.000000,0.000000,0.002066
    Full Width at Half Height of Normalized Cross-Correlation, , , , , , , ,2.000000, , ,11.000000,7.000000,18.000000,11.000000,11.000000, , , ,39.000000, ,9.000000, , ,7.000000
    Full Width at Half Height of Cross-Correlation, , , , , , , ,2.000000, , ,37.000000,11.000000,85.000000,14.000000,13.000000, , , ,39.000000, ,14.000000, , ,14.000000
    Synchrony Index,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181607,0.000000,0.000000,0.300905,0.238114,0.690699,0.339027,0.153295,0.000000,0.000000,0.000000,0.004969,0.000000,0.258465,0.000000,0.000000,0.188581
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode, , , , , , , , , , ,21.000000,42.000000,43.000000, , , , , , , ,44.000000, , , 
    Percent Bursts with Start Electrode, , , , , , , , , , ,62.500000,50.000000,65.517241, , , , , , , ,100.000000, , , 
    Burst Peak (Max Spikes per sec), , , , , , , , , , ,1000.000000,2000.000000,3586.206897, , , , , , , ,3000.000000, , , 
    Time to Burst Peak (ms), , , , , , , , , , ,68.500000,1.500000,24.500000, , , , , , , ,12.500000, , , 
Viability Metrics
    Resistance - Avg (kOhms),24.379320,25.820777,25.350132,12.226900,13.656842,19.178851,18.712142,14.179869,32.596225,24.866441,16.439291,25.048740,22.445758,18.381862,16.041533,17.531697,15.552781,14.722593,20.756968,6.107660,19.422886,18.414096,13.682443,12.725298
    Resistance - Std (kOhms),11.030405,10.757625,9.042792,5.194560,6.696876,10.873816,11.184678,6.280549,10.648500,10.077039,7.159773,13.051324,9.117203,9.643210,6.845670,8.186135,8.639256,7.729335,10.372080,0.253891,8.656175,9.990124,6.522805,5.116390
