Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
Recording Name,WT hippocampal culture_22DIV_Agonists Challenge_25-04-2023,00000.326000,A3_22,5,0.05768
Description,"WT hippocampal culture. Agonists challenge measured on 25.04.23, 22DIV. Cells were cultured on 03.04.23, at different cell density - see platemap. BAR CODE: 100-0914
",00000.945840,A6_12,22,0.11136
,,00000.944400,A6_11,26,0.11168
Maestro Edge (Maestro-) Settings,,00000.949200,A6_42,15,0.09528
   Original File Time,04/25/2023 15:44:02,00000.997040,A6_43,12,0.04768
   Sampling Frequency,12.5 kHz,00000.949920,A6_32,11,0.10168
   Voltage Scale,5.484861781483107E-08 V/sample,00000.943840,A6_21,40,0.12328
   Experiment Start Time,04/25/2023 12:45:44,00000.998720,A6_31,11,0.04416
   Referencing Method,Median,00000.942080,A6_22,37,0.12536
   Acquire Viability,On,00001.284560,D1_21,30,0.11344
   Analog Mode Setting,Neural Spikes,00001.284720,D1_31,10,0.10488
   Plate Type,CytoView MEA 24,00001.242480,D1_22,31,0.14512
   Digital Low Pass Filter,3 kHz Kaiser Window,00001.237680,C1_23,12,0.11208
   Digital High Pass Filter,200 Hz IIR,00001.200960,C1_33,28,0.14784
   Temperature Set Point,37.0 Degrees C,00001.261920,C1_43,33,0.10848
   Current Temperature,37.0 Degrees C,00001.061440,B6_14,72,0.3284
   Heater Power,On,00001.083600,B6_12,9,0.08128
   Barcode Plate Type,TwentyFourWell,00001.061840,B6_11,21,0.11056
   Plate Serial Number,100-0914,00001.067360,B6_33,27,0.11136
   CO2 Conc. Set Point,5.0 %,00001.058800,B6_23,33,0.3364
   Actual CO2 Conc.,5.0 %,00001.067200,B6_34,24,0.11736
   Gas Mixer Status,Regulating,00001.072560,B6_44,34,0.2528
   AxIS Version,3.6.2.2,00001.201760,D1_24,18,0.33008
   Maestro Edge (Maestro-) Firmware,3.6.2.2,00001.806000,B3_14,7,0.02424
   Maestro Edge (Maestro-) BioCore Version,BioCore 4B,00001.820560,B3_43,5,0.02232
,,00001.808320,B3_42,6,0.02336
AxIS Playback,,00001.525520,A3_22,7,0.298
   AxIS Version,3.6.2.2,00002.537680,A1_41,13,0.05944
   File Name,WT hippocampal culture_22DIV_Agonists Challenge_25-04-2023(000).raw,00002.508960,A1_21,30,0.10048
   Plate Type,CytoView MEA 24,00002.563760,A1_31,12,0.03728
   Requested File Section,0s to 9m57s,00002.529360,A1_11,7,0.06488
   Actual File Section Run,0s to 9m57s,00002.561440,A1_22,8,0.03784
   Recording Offset from File Start,0s,00002.562720,A1_43,6,0.03592
,,00002.768400,A1_21,12,0.04904
Spike Detector Settings,,00002.553040,A1_13,21,0.11
   Method,Adaptive Threshold Crossing,00002.766240,A1_13,7,0.0364
   Threshold,6,00002.550400,A1_23,25,0.11904
   Threshold Status,Variable,00002.770960,A1_23,9,0.03392
   Threshold Crossing Only,True,00002.560320,A1_33,12,0.09424
   Pre-Spike Duration,0.84 ms,00002.552080,A1_34,45,0.2584
   Post-Spike Duration,2.16 ms,00002.997840,D1_21,27,0.1364
   Coincident Event Filter,Default (Well),00002.983680,D1_31,28,0.15064
   Coincidence Occurrence Threshold,4 Electrodes,00002.971520,D1_33,8,0.118
   Coincidence Event Window,160 µs,00002.973120,D1_24,10,0.04328
   Allow Sample Overlap,false,00002.974160,D1_42,29,0.1516
   Spike Count Interval,1 s,00002.963120,A1_14,5,0.10152
,,00002.870240,A2_21,23,0.06496
Burst Detector Settings,,00002.873760,A2_11,24,0.06576
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold,00002.878080,A2_12,9,0.0508
   Maximum Inter-Spike Interval,100 ms,00002.875440,A2_13,23,0.05832
   Minimum Number of Spikes,5,00002.877600,A2_14,21,0.0576
   Enable Network Burst Detection,True,00002.869680,A2_33,26,0.0704
   Maximum Inter-Spike Interval (network bursts),100 ms,00002.871440,A2_34,27,0.0664
   Minimum Number of Spikes (network bursts),50,00002.871440,A2_32,26,0.06704
   Minimum Participating Electrodes (%),35,00002.870480,A2_43,19,0.05952
   Synchrony Window,20 ms,00002.870400,A2_44,20,0.06048
,,00002.872320,A2_42,17,0.05704
,,00002.971040,A1_12,12,0.42472
,,00002.960400,A1_33,26,0.43784
,,00003.367600,D1_21,18,0.10952
,,00003.375440,D1_31,20,0.10168
,,00003.391120,D1_42,12,0.09
,,00002.977440,A1_41,63,0.46448
,,00002.965200,A1_21,97,0.492
,,00002.972320,A1_31,35,0.4304
,,00002.970800,A1_11,26,0.43128
,,00002.961120,A1_13,75,0.50192
,,00002.969680,A1_22,17,0.43064
,,00002.959840,A1_23,82,0.51784
,,00002.955600,A1_34,96,0.53648
,,00002.971840,A1_43,16,0.4296
,,00004.351520,C2_14,5,0.01312
,,00004.574640,A3_22,5,0.04
,,00004.353680,C4_11,22,0.14256
,,00004.353680,C4_21,26,0.1372
,,00004.362480,C4_31,10,0.11792
,,00004.819840,C1_11,7,0.01632
,,00005.104480,C1_11,9,0.02488
,,00005.091280,C1_12,5,0.03144
,,00004.826880,C1_13,18,0.07384
,,00005.078720,C1_13,11,0.04592
,,00004.828400,C1_33,56,0.2944
,,00004.977120,C1_24,5,0.12064
,,00004.834000,C1_43,28,0.09864
,,00005.049920,C1_43,21,0.07072
,,00004.827360,C1_23,53,0.44176
,,00005.183680,A3_22,6,0.20656
,,00005.414480,B6_44,9,0.0272
,,00005.674240,A3_41,7,0.03264
,,00005.700480,A3_21,18,0.07312
,,00005.697600,A3_31,14,0.05144
,,00005.649840,A3_11,18,0.12896
,,00005.655760,A3_12,31,0.12184
,,00005.655520,A3_13,43,0.12616
,,00005.507360,A3_22,7,0.20864
,,00005.676880,A3_23,6,0.0328
,,00005.652800,A3_14,45,0.13088
,,00005.662800,A3_24,44,0.12056
,,00005.654160,A3_34,26,0.12064
,,00005.667360,A3_32,18,0.10384
,,00005.662800,A3_44,39,0.1204
,,00005.651360,A3_43,45,0.13952
,,00005.685760,A4_12,5,0.12024
,,00005.696960,A4_41,8,0.12664
,,00005.694160,A4_31,9,0.12176
,,00005.702880,A4_22,5,0.08816
,,00006.042800,B1_33,8,0.02808
,,00005.697200,A4_32,40,0.43496
,,00005.925840,A4_41,7,0.20768
,,00006.186080,A3_22,19,0.288
,,00006.568160,B2_31,5,0.09208
,,00006.570480,B2_22,25,0.1056
,,00006.998480,D1_21,26,0.08064
,,00007.004560,D1_31,8,0.06688
,,00006.998240,D1_22,27,0.08072
,,00007.006880,D1_24,6,0.06872
,,00007.186320,B6_14,6,0.02288
,,00007.196880,B6_11,5,0.01048
,,00007.193760,B6_33,6,0.0188
,,00007.193440,B6_23,5,0.01224
,,00007.754640,B6_44,5,0.01288
,,00007.750080,A3_22,8,0.15816
,,00008.952960,A6_12,26,0.11784
,,00008.953600,A6_11,28,0.10872
,,00008.958560,A6_42,12,0.09544
,,00008.976480,A6_43,5,0.06856
,,00008.960080,A6_32,14,0.09424
,,00008.953280,A6_21,43,0.11624
,,00008.972240,A6_31,22,0.07056
,,00008.950880,A6_22,42,0.1224
,,00009.301920,B4_33,10,0.03464
,,00009.298960,B4_34,7,0.01984
,,00009.302640,B4_24,11,0.02792
,,00009.303280,B4_42,8,0.02104
,,00009.300400,B4_43,8,0.02344
,,00009.300160,B4_44,7,0.02104
,,00009.302240,B4_21,5,0.03096
,,00009.533360,C2_14,13,0.10328
,,00009.461760,C2_34,7,0.13776
,,00009.501280,D3_21,6,0.09072
,,00009.375760,C4_11,23,0.1312
,,00009.384720,C4_21,27,0.19424
,,00009.384640,C4_31,10,0.19272
,,00009.981280,B6_44,6,0.01352
,,00010.443440,B3_21,11,0.06224
,,00010.441200,B3_31,27,0.07888
,,00010.446560,B3_11,11,0.06832
,,00010.444720,B3_12,21,0.06312
,,00010.441360,B3_22,8,0.06288
,,00010.437920,B3_23,5,0.01248
,,00010.436080,B3_14,21,0.09
,,00010.437280,B3_33,9,0.07096
,,00010.433840,B3_24,7,0.01792
,,00010.434080,B3_34,8,0.0228
,,00010.441200,B3_32,11,0.07576
,,00010.422400,B3_43,16,0.09768
,,00010.432560,B3_44,10,0.0652
,,00010.437200,B3_42,12,0.0808
,,00010.795840,A2_21,7,0.03048
,,00010.792720,A2_33,7,0.01448
,,00010.794640,A2_34,7,0.05656
,,00010.624720,B6_14,37,0.15576
,,00010.630000,B6_11,9,0.06936
,,00010.628240,B6_33,21,0.154
,,00010.639600,B6_23,23,0.13744
,,00010.648720,B6_34,16,0.13064
,,00010.688320,B6_44,24,0.09144
,,00010.904560,B6_14,55,0.20032
,,00010.914320,B6_33,10,0.16512
,,00010.909920,B6_23,13,0.1708
,,00010.912480,B6_34,13,0.17376
,,00010.906160,B6_44,17,0.19736
,,00011.343360,B4_33,6,0.01424
,,00011.345360,B4_24,5,0.01
,,00011.346400,B4_42,7,0.01544
,,00011.341520,B4_43,7,0.02032
,,00011.341680,B4_44,5,0.01424
,,00011.644080,D1_21,25,0.18416
,,00011.644160,D1_31,16,0.17696
,,00011.714160,D1_22,23,0.10576
,,00011.770560,D1_24,11,0.0992
,,00012.159120,A3_41,6,0.1184
,,00012.182160,A3_21,26,0.10104
,,00012.165200,A3_31,19,0.11224
,,00012.136800,A3_11,19,0.13424
,,00012.139360,A3_12,32,0.13672
,,00012.142080,A3_13,48,0.13784
,,00012.167600,A3_23,9,0.10344
,,00012.141920,A3_14,43,0.13232
,,00012.148480,A3_24,47,0.14136
,,00012.147920,A3_34,26,0.13032
,,00012.158160,A3_32,26,0.1268
,,00012.152800,A3_44,48,0.146
,,00012.146800,A3_43,51,0.17808
,,00012.538880,B5_14,14,0.06368
,,00012.541200,B5_12,15,0.086
,,00012.531120,B5_13,23,0.09632
,,00012.542800,B5_44,8,0.07864
,,00012.540960,B5_21,31,0.11016
,,00012.563760,B5_41,9,0.11392
,,00012.983520,D1_21,20,0.1124
,,00012.986560,D1_31,22,0.12552
,,00012.974160,D1_33,8,0.05
,,00012.976400,D1_24,6,0.0132
,,00012.976720,D1_42,24,0.11536
,,00012.926000,B1_33,14,0.05112
,,00013.132960,B4_33,5,0.01048
,,00013.135280,B4_24,6,0.01304
,,00013.136400,B4_42,6,0.01296
,,00013.131280,B4_43,8,0.02048
,,00013.600480,D1_21,15,0.0628
,,00013.588400,D1_31,16,0.07704
,,00013.597520,D1_42,13,0.06136
,,00013.657360,A5_14,5,0.10256
,,00013.666160,A5_13,17,0.10312
,,00013.660080,A5_21,18,0.10056
,,00013.659120,A5_41,5,0.10928
,,00014.612160,C4_12,5,0.0812
,,00014.593200,C4_11,21,0.0876
,,00014.610560,C4_21,25,0.1416
,,00014.603600,C4_31,11,0.13856
,,00015.076880,A2_33,6,0.01752
,,00015.078400,A2_34,6,0.07456
,,00015.387520,D1_42,13,0.04608
,,00015.920640,D6_44,42,0.14224
,,00016.175200,D6_44,66,0.38768
,,00016.887120,B6_44,5,0.01744
,,00017.608720,A6_21,7,0.01872
,,00017.606880,A6_22,7,0.018
,,00017.475200,D1_21,42,0.30216
,,00017.476160,D1_31,46,0.30688
,,00017.495680,D1_22,6,0.28392
,,00017.484240,D1_42,30,0.30664
,,00017.892880,D1_21,7,0.0188
,,00017.893120,D1_31,7,0.01712
,,00018.112800,D1_21,21,0.18776
,,00018.101520,D1_31,19,0.1968
,,00018.129360,D1_42,17,0.17048
,,00018.236080,B6_12,6,0.11024
,,00018.237520,B6_11,18,0.12216
,,00018.344800,B6_33,8,0.0304
,,00018.235360,B6_23,17,0.13952
,,00018.346000,B6_34,8,0.02672
,,00018.486960,D1_21,11,0.09744
,,00018.505360,D1_31,12,0.0792
,,00018.502960,D1_42,10,0.06296
